The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Thiophene            |   9.09 |           0.36           2.80           2.80 |           0.19           2.61           2.39 |          -0.04           2.35           1.14 |           1.08           3.45           1.08 |           0.21           2.61           2.52 |          -0.30           2.09          -0.16
CH3CCCH3             |   9.79 |           0.60           2.95           2.95 |           0.36           2.71           2.67 |           0.49           2.83           1.51 |           1.49           3.85           1.49 |           0.40           2.74           2.74 |           0.26           2.60           0.40
Isobutane            |  11.73 |           1.05           3.44           3.44 |           0.54           2.96           2.96 |           0.27           2.71           1.39 |           0.60           3.09           0.60 |           0.58           2.98           2.98 |           0.43           2.84           0.58
Thiirane             |   9.06 |           0.25           2.91           2.91 |           0.06           2.70           2.54 |           0.23           2.85           1.33 |           1.21           3.82           1.21 |           0.12           2.74           2.65 |           0.04           2.66           0.20
2-Propen-1-ol        |  10.42 |           0.94           3.49           3.49 |           0.54           3.12           2.98 |           0.50           3.28           1.68 |           1.62           4.47           1.62 |           0.57           3.15           3.13 |           0.35           2.97           0.52
Butenone             |   9.77 |           0.54           2.85           2.85 |           0.27           2.55           2.47 |           0.40           2.65           0.86 |           1.59           3.81           1.59 |           0.34           2.60           2.59 |           0.18           2.45           0.33
CH3SOCH3             |   9.11 |           0.47           2.81           2.81 |           0.25           2.55           2.44 |           0.40           2.64           1.10 |           1.50           3.66           1.50 |           0.32           2.59           2.58 |           0.22           2.50           0.38
CH3CCCN              |  11.00 |           0.73           3.21           3.21 |           0.43           2.91           2.86 |           0.47           2.97           1.57 |           1.47           4.03           1.47 |           0.44           2.91           2.91 |           0.26           2.76           0.45
CS2                  |  10.05 |           0.17           2.94           2.94 |          -0.04           2.72           2.53 |           0.12           2.88           1.34 |           1.25           4.01           1.25 |          -0.05           2.71           2.65 |          -0.07           2.68           0.15
SiH3                 |   8.80 |           0.11           3.37           3.37 |          -0.07           3.19           2.83 |           0.02           3.30           1.61 |           0.41           3.71           0.41 |          -0.10           3.16           2.88 |          -0.19           3.07           0.08
