The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NH3                  |  10.96 |           0.01           3.37           3.37 |          -0.06           3.28           3.25 |           0.25           3.58           1.69 |           1.52           4.84           1.52 |           0.11           3.45           3.36 |          -0.05           3.29           0.83
CH3NO2               |  11.51 |           0.59           3.26           3.26 |           0.06           2.70           2.70 |          -0.22           2.40           0.86 |           1.54           4.16           1.54 |           0.08           2.72           2.72 |          -0.01           2.62           0.70
HOCl                 |  11.22 |           0.42           3.52           3.52 |           0.02           3.12           3.12 |          -0.12           2.96           1.46 |           0.34           3.43           0.34 |           0.05           3.13           3.13 |           0.00           3.09           0.84
CH3OH                |  11.11 |           0.49           3.50           3.50 |           0.22           3.21           3.21 |           0.32           3.30           1.49 |           1.41           4.41           1.41 |           0.31           3.30           3.30 |           0.20           3.18           1.02
SiF4                 |  16.58 |           2.24           5.18           5.18 |           1.24           4.18           4.18 |           0.24           3.13           1.72 |           0.98           2.20          -0.74 |           1.16           4.09           4.09 |           1.11           4.04           1.92
CHF3                 |  14.95 |           1.31           4.47           4.47 |           0.60           3.77           3.77 |           0.01           3.20           1.77 |          -0.09           3.17          -0.09 |           0.62           3.78           3.78 |           0.71           3.87           1.62
HCl                  |  12.68 |           0.06           3.50           3.50 |          -0.11           3.32           3.32 |           0.07           3.51           1.89 |           1.10           4.52           1.10 |          -0.04           3.39           3.39 |          -0.12           3.32           0.88
HCN                  |  13.77 |           0.14           3.37           3.37 |          -0.31           3.30           3.30 |          -0.11           2.89           1.53 |           1.37           4.32           1.37 |           0.20           3.41           3.41 |          -0.25           2.76           0.65
CH2F2                |  13.45 |           1.12           4.29           4.29 |           0.50           3.68           3.68 |           0.02           3.22           1.80 |          -0.04           3.23          -0.04 |           0.53           3.71           3.71 |           0.61           3.78           1.54
CH2O                 |  10.93 |           0.29           3.47           3.47 |           0.08           3.24           3.24 |           0.28           3.41           1.50 |           1.50           4.59           1.50 |           0.20           3.35           3.35 |           0.10           3.25           1.03
FCN                  |  13.61 |           0.38           3.57           3.57 |           0.15           3.34           3.34 |           0.30           3.50           2.04 |           1.42           4.63           1.42 |           0.23           3.41           3.41 |           0.14           3.32           1.12
CF4                  |  16.45 |           2.01           5.03           5.03 |           1.01           4.03           4.03 |           0.07           3.18           1.59 |          -3.39           4.14          -3.39 |           0.95           3.96           3.96 |           1.09           4.10           2.03
ClF                  |  12.72 |           0.38           3.74           3.74 |          -0.02           3.34           3.34 |          -0.13           3.27           1.75 |           0.59           4.04           0.59 |           0.01           3.38           3.38 |           0.01           3.37           1.07
NF3                  |  13.60 |           0.72           3.85           3.85 |           0.17           3.30           3.30 |          -0.11           3.04           1.44 |           0.49           3.67           0.49 |           0.24           3.37           3.37 |           0.31           3.43           1.30
HCO                  |   9.18 |          -0.16           3.17           3.17 |          -0.49           2.85           2.85 |          -0.60           2.74           1.27 |          -0.31           3.04          -0.31 |          -0.45           2.89           2.89 |          -0.41           2.92           0.67
NNO                  |  12.92 |           0.14           3.41           3.41 |          -0.00           3.26           3.26 |           0.31           3.56           1.77 |           1.81           5.05           1.81 |           0.09           3.35           3.35 |          -0.01           3.24           1.04
CF2O                 |  13.58 |           0.54           3.64           3.64 |           0.14           3.26           3.26 |           0.23           3.38           1.42 |           1.44           4.62           1.44 |           0.24           3.36           3.36 |           0.12           3.24           1.15
CH3F                 |  13.44 |           0.85           4.02           4.02 |           0.43           3.58           3.58 |           0.26           3.39           1.80 |           1.04           4.10           1.04 |           0.49           3.63           3.63 |           0.48           3.63           1.53
CO2                  |  13.81 |           0.28           3.53           3.53 |           0.02           3.26           3.26 |           0.16           3.40           1.60 |           1.40           4.63           1.40 |           0.09           3.33           3.33 |          -0.05           3.19           1.08
O3                   |  12.80 |           0.32           3.58           3.58 |          -0.26           3.00           3.00 |          -0.66           2.58           1.13 |          -0.52           2.72          -0.52 |          -0.21           3.04           3.04 |          -0.16           3.09           1.00
H2O2                 |  11.62 |           0.43           3.61           3.61 |           0.02           3.19           3.19 |          -0.15           3.01           1.41 |           0.33           3.47           0.33 |           0.09           3.25           3.25 |           0.09           3.25           1.23
BF3                  |  16.04 |           1.66           4.71           4.71 |           0.81           3.86           3.86 |           0.01           3.05           1.63 |          -0.47           2.57          -0.47 |           0.76           3.81           3.81 |           0.78           3.83           1.95
NH                   |  13.44 |          -0.11           3.63           3.63 |          -0.25           3.49           3.49 |          -0.04           3.70           1.72 |           0.61           4.34           0.61 |          -0.27           3.45           3.45 |          -0.42           3.31           1.14
F2O                  |  13.24 |           0.65           3.93           3.93 |          -0.02           3.26           3.26 |          -0.40           2.90           1.07 |           0.69           4.01           0.69 |           0.04           3.32           3.32 |           0.19           3.47           1.56
H2O                  |  12.69 |          -0.05           3.56           3.56 |          -0.09           3.51           3.51 |           0.29           3.89           1.85 |           1.69           5.27           1.69 |           0.10           3.70           3.70 |          -0.13           3.47           1.40
N2                   |  15.55 |           0.22           3.64           3.64 |          -0.25           3.16           3.16 |          -0.50           2.91           1.48 |          -0.11           3.29          -0.11 |          -0.16           3.25           3.25 |          -0.23           3.18           1.27
NH2                  |  12.03 |          -0.66           2.95           2.95 |          -0.76           2.84           2.84 |          -0.53           3.06           1.45 |           0.26           3.86           0.26 |          -0.78           2.81           2.81 |          -0.93           2.67           0.74
NO                   |   9.54 |          -0.26           3.25           3.25 |          -0.65           2.86           2.86 |          -0.84           2.66           1.29 |          -0.57           2.94          -0.57 |          -0.57           2.93           2.93 |          -0.49           3.01           1.23
O2                   |  12.27 |          -0.16           3.41           3.41 |          -0.68           2.89           2.89 |          -1.04           2.52           0.87 |          -1.06           2.50          -1.06 |          -0.64           2.92           2.92 |          -0.48           3.09           1.28
ClO                  |  10.95 |          -0.09           3.16           3.16 |          -1.70           1.62           1.62 |          -2.08           1.24           0.44 |          -2.25           1.05          -2.25 |          -1.76           1.55           1.55 |          -1.70           1.61           0.13
C2H4                 |  10.69 |           0.20           3.17           3.17 |           0.15           3.11           3.02 |           0.51           3.45           1.88 |          -2.18           0.78          -1.31 |           0.25           3.20           3.14 |          -2.14           0.82          -0.50
C2N2                 |  13.58 |           0.67           3.65           3.65 |           0.39           3.36           3.36 |           0.47           3.44           1.92 |          -1.74           1.01          -1.67 |           0.41           3.38           3.38 |          -1.32           3.15           0.20
HF                   |  16.17 |          -0.14           3.74           3.74 |          -0.17           3.71           3.71 |           0.26           4.13           2.17 |           1.77           5.63           1.77 |           0.05           3.92           3.92 |          -0.22           3.66           2.30
F2                   |  15.76 |           0.47           3.75           3.75 |          -0.13           3.15           3.15 |          -0.54           2.84           1.44 |          -0.38           4.02          -0.38 |          -0.07           3.21           3.21 |           0.09           3.36           2.24
OH                   |  12.98 |          -1.04           2.75           2.75 |          -3.33           0.50           0.50 |          -3.07           0.76           0.42 |          -2.14           1.68          -2.14 |          -3.33           0.50           0.50 |          -3.50           0.33           0.21
NO2                  |  11.00 |          -0.00           1.30           1.30 |          -0.58           0.72           0.72 |          -1.05           0.25           0.25 |          -1.16           0.14          -1.16 |          -0.56           0.73           0.73 |          -0.46           0.83           0.83
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
