The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CH3CCCH3               |          -0.57          -0.14          -0.14 |          -0.42           0.01          -0.00 |          -0.19           0.25           0.00 |           0.25           0.70           0.25 |          -0.44          -0.01          -0.01 |          -0.03           0.41           0.00
Isobutane              |          -0.51          -0.13          -0.13 |          -0.39          -0.00          -0.00 |          -0.18           0.21          -0.00 |           0.23           0.64           0.23 |          -0.43          -0.03          -0.03 |          -0.02           0.37           0.00
Thiirane               |          -0.60          -0.13          -0.13 |          -0.44           0.03           0.00 |          -0.20           0.28          -0.00 |           0.25           0.72           0.25 |          -0.46           0.02           0.00 |          -0.03           0.44          -0.00
2-Propen-1-ol          |          -0.54          -0.12          -0.12 |          -0.40           0.02          -0.00 |          -0.19           0.26          -0.00 |           0.23           0.70           0.23 |          -0.43           0.00           0.00 |          -0.03           0.42           0.00
Butenone               |          -0.59          -0.18          -0.18 |          -0.40           0.01           0.00 |          -0.08           0.33          -0.00 |           0.44           0.84           0.44 |          -0.41           0.00           0.00 |          -0.03           0.39           0.00
CH3SOCH3               |          -0.57          -0.14          -0.14 |          -0.41           0.02          -0.00 |          -0.13           0.30          -0.00 |           0.38           0.81           0.38 |          -0.42           0.00           0.00 |          -0.03           0.40          -0.00
CH3CCCN                |          -0.53          -0.13          -0.13 |          -0.40           0.01           0.00 |          -0.18           0.23          -0.00 |           0.24           0.67           0.24 |          -0.42          -0.01          -0.01 |          -0.03           0.38           0.00
CS2                    |          -0.54          -0.10          -0.10 |          -0.41           0.03           0.00 |          -0.19           0.24          -0.00 |           0.21           0.65           0.21 |          -0.43           0.01           0.00 |          -0.04           0.40           0.00
SiH3                   |          -0.59          -0.08          -0.08 |          -0.45           0.06           0.00 |          -0.25           0.26           0.00 |           0.12           0.63           0.12 |          -0.47           0.04           0.00 |          -0.04           0.47           0.00
Acrylonitrile          |          -0.56          -0.13          -0.13 |          -0.42           0.02          -0.00 |          -0.20           0.24          -0.00 |           0.22           0.67           0.22 |          -0.44          -0.00          -0.00 |          -0.04           0.40           0.00
