The error in the VIE for each molecule in the McKenchie test set of 147 small molecules when varying a range-separated hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table. The mean and standard deviation of the optimal mixing parameter are also reported.
------------------------------------------------------------------------------------------------------------------------
                     |                |                omega                         |                opt            
S2                   |           9.38 |          -0.14          -0.48          -1.14 |          -0.66           0.40 
CF3CN                |          14.24 |           0.74          -1.42          -0.28 |          -0.23           0.40 
NSF                  |          11.78 |           0.21           0.06           0.03 |           0.01           0.40 
OCS                  |          11.21 |          -0.03          -0.09          -0.21 |          -0.11           0.40 
C2F4                 |          10.54 |           0.58           0.31          -0.37 |           0.15           0.40 
CH3CN                |          12.54 |           0.40           0.16           0.29 |           0.11           0.40 
s-Tetrazine          |           9.70 |           0.64          -0.06          -1.44 |          -0.44           0.40 
NaCl                 |           9.05 |          -0.23          -0.19          -0.06 |          -0.16           0.40 
C2H2                 |          11.46 |           0.04           0.05           0.40 |           0.11           0.40 
CClF3                |          13.01 |           0.46           0.05          -0.34 |          -0.09           0.41 
SiF2                 |          11.15 |           0.22           0.07          -0.07 |           0.03           0.41 
H2S                  |          10.39 |          -0.02          -0.06           0.01 |          -0.06           0.41 
CH3SiH3              |          11.73 |           0.48          -0.24          -0.75 |          -0.45           0.41 
N2H4                 |          10.28 |           0.40           0.15          -0.35 |          -0.01           0.41 
CH3CH2OH             |          10.86 |           0.68           0.30          -0.03 |           0.11           0.41 
SiH4                 |          12.81 |           0.67           0.27          -0.45 |           0.03           0.41 
CCl2F2               |          12.18 |           0.72           0.05          -0.81 |          -0.26           0.41 
CH3Cl                |          11.36 |           0.21          -0.02          -0.17 |          -0.11           0.41 
CFCl3                |          11.74 |           0.90           0.05          -1.19 |          -0.39           0.41 
CCl3H                |          11.47 |           0.84           0.02          -1.49 |          -0.42           0.42 
HCOOH                |          11.55 |           0.24           0.05           0.04 |          -0.03           0.42 
HCCF                 |          11.41 |           0.24           0.13           0.12 |           0.10           0.42 
H2CCCl2              |          10.06 |           0.45           0.11          -0.13 |          -0.03           0.42 
PF3                  |          12.21 |           0.41           0.14          -0.41 |          -0.03           0.42 
CH3CH3               |          12.74 |           0.87           0.45          -0.33 |           0.15           0.42 
AlCl3                |          12.00 |           1.10           0.07          -1.10 |          -0.41           0.42 
SiO                  |          11.51 |           0.17          -0.09          -0.25 |          -0.20           0.43 
CH2Cl2               |          11.56 |           0.87           0.18          -0.88 |          -0.23           0.43 
BCl3                 |          11.72 |           0.89           0.02          -1.14 |          -0.45           0.43 
NH3                  |          10.96 |          -0.06          -0.09           0.21 |          -0.04           0.43 
CO                   |          13.95 |           0.08          -0.14          -0.40 |          -0.26           0.44 
HCN                  |          13.77 |          -0.02          -0.28          -0.11 |          -0.28           0.44 
CH3OH                |          11.11 |           0.40           0.17          -0.02 |           0.01           0.44 
CH4N2O               |          10.32 |          -0.01           0.14          -1.03 |          -0.74           0.44 
CF2O                 |          13.58 |           0.43           0.09          -0.12 |          -0.08           0.45 
CH3                  |           9.74 |          -0.27          -0.35          -0.20 |          -0.35           0.45 
CH3NO2               |          11.51 |           0.48          -0.04          -1.05 |          -0.46           0.45 
CH4                  |          14.39 |           0.28           0.26           0.02 |           0.13           0.45 
CH2O                 |          10.93 |           0.20           0.06           0.07 |          -0.02           0.45 
OCHCHO               |          10.61 |           0.67           0.10          -1.02 |          -0.32           0.45 
Cl2                  |          11.53 |           0.25          -0.14          -0.85 |          -0.46           0.47 
SO2                  |          12.40 |           0.41           0.04          -0.70 |          -0.29           0.47 
