The error in the VIE for each molecule in the McKenchie test set of 147 small molecules when varying a global hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table. The mean and standard deviation of the optimal mixing parameter are also reported.
--------------------------------------------------------------------------------------------------------------------------
                     |                |                alpha                         |                opt            
OCHCHO               |          10.61 |           0.73          -0.19          -1.03 |          -0.64           0.76 
CClF3                |          13.01 |           0.57           0.01          -0.21 |          -0.12           0.76 
Propene              |          10.01 |           0.39           0.49           0.67 |           0.58           0.76 
H2CCCl2              |          10.06 |           0.60           0.27           0.09 |           0.16           0.76 
Acrylonitrile        |          11.12 |           0.56           0.51           0.56 |           0.52           0.76 
SO2                  |          12.40 |           0.50          -0.09          -0.59 |          -0.37           0.76 
CH3CCH               |          10.55 |           0.44           0.44           0.54 |           0.49           0.77 
Cl2CCF2              |           9.91 |           0.68           0.09          -0.32 |          -0.15           0.77 
BF3                  |          16.04 |           1.63          -0.02          -1.61 |          -0.88           0.77 
C2N2                 |          13.58 |           0.64           0.44           0.40 |           0.40           0.77 
CS2                  |          10.05 |           0.14           0.09           0.18 |           0.12           0.77 
Furan                |           9.06 |           0.27           0.37           0.51 |           0.44           0.77 
s-Tetrazine          |           9.70 |           0.72          -0.40          -1.52 |          -1.01           0.77 
HCCCN                |          11.81 |           0.59           0.45           0.43 |           0.42           0.77 
CH3Cl                |          11.36 |           0.33           0.10           0.02 |           0.05           0.77 
HCCCCH               |          10.29 |           0.55           0.43           0.38 |           0.40           0.78 
H2CS                 |           9.35 |           0.19           0.18           0.22 |           0.20           0.78 
CH2CO                |           9.72 |           0.12           0.10           0.11 |           0.10           0.78 
F2                   |          15.76 |           0.44          -0.57          -1.54 |          -1.12           0.78 
CH3SH                |           9.46 |           0.24           0.16           0.15 |           0.15           0.78 
HOCl                 |          11.22 |           0.39          -0.15          -0.67 |          -0.45           0.78 
NaCl                 |           9.05 |          -0.13          -0.00           0.08 |           0.05           0.78 
HCN                  |          13.77 |          -0.17          -0.14          -0.03 |          -0.09           0.78 
Si2H6                |          10.63 |           0.38           0.10          -0.13 |          -0.03           0.78 
SiF4                 |          16.58 |           2.21           0.17          -1.86 |          -0.99           0.78 
Chloroethene         |          10.21 |           0.48           0.32           0.25 |           0.26           0.79 
NO2                  |          11.00 |          -0.02          -1.06          -2.08 |          -1.65           0.79 
Cyclopropene         |          10.01 |           0.43           0.45           0.54 |           0.49           0.79 
CCl2F2               |          12.18 |           0.87           0.02          -0.67 |          -0.39           0.79 
CH2CF2               |          10.63 |           0.41           0.24           0.18 |           0.19           0.79 
C2H4                 |          10.69 |           0.16           0.48           0.76 |           0.65           0.79 
CBrF3                |          11.93 |           0.36          -0.05          -0.28 |          -0.19           0.79 
CF4                  |          16.45 |           1.98          -0.05          -2.06 |          -1.23           0.79 
CH3CH2CH3            |          12.16 |           1.13           0.31          -0.36 |          -0.11           0.79 
CH2Cl2               |          11.56 |           1.00           0.07          -0.49 |          -0.27           0.79 
Fluoroethene         |          10.61 |           0.34           0.34           0.40 |           0.37           0.79 
ClF3                 |          12.86 |           0.91          -0.46          -1.62 |          -1.18           0.79 
C2F4                 |          10.54 |           0.63           0.05          -0.34 |          -0.20           0.80 
CH4                  |          14.39 |           0.50           0.23           0.11 |           0.16           0.80 
CHFCF2               |          10.53 |           0.55           0.13          -0.12 |          -0.04           0.80 
OCS                  |          11.21 |           0.12           0.03          -0.00 |           0.00           0.80 
Z-CHF-CHF            |          10.54 |           0.47           0.22           0.10 |           0.13           0.80 
CH3CH3               |          12.74 |           0.93           0.28          -0.22 |          -0.08           0.80 
CH3                  |           9.74 |          -0.07           0.05           0.15 |           0.11           0.80 
FCN                  |          13.61 |           0.35           0.26           0.29 |           0.27           0.80 
CO                   |          13.95 |           0.04          -0.26          -0.50 |          -0.42           0.80 
C2H2                 |          11.46 |           0.18           0.41           0.62 |           0.54           0.80 
CHF3                 |          14.95 |           1.28          -0.02          -1.16 |          -0.74           0.81 
HCCF                 |          11.41 |           0.36           0.29           0.29 |           0.28           0.81 
N2                   |          15.55 |           0.19          -0.53          -1.19 |          -0.95           0.81 
NO                   |           9.54 |          -0.29          -0.88          -1.46 |          -1.24           0.81 
SF6                  |          15.76 |           2.11          -0.23          -0.99 |          -1.91           0.81 
ClF                  |          12.72 |           0.35          -0.17          -0.50 |          -0.40           0.82 
HCl                  |          12.68 |           0.02           0.04           0.05 |           0.05           0.82 
CH2F2                |          13.45 |           1.09          -0.02          -1.05 |          -0.69           0.82 
CFCl3                |          11.74 |           1.06          -0.02          -1.06 |          -0.70           0.82 
CCl3H                |          11.47 |           1.01          -0.01          -1.01 |          -0.66           0.83 
H2S                  |          10.39 |           0.08           0.12           0.16 |           0.14           0.83 
AlCl3                |          12.00 |           1.29           0.15          -0.95 |          -0.57           0.83 
HCO                  |           9.18 |          -0.20          -0.64          -1.07 |          -0.92           0.83 
BCl3                 |          11.72 |           1.07           0.02          -0.99 |          -0.65           0.83 
Cl2                  |          11.53 |           0.40          -0.16          -0.69 |          -0.52           0.83 
PF3                  |          12.21 |           0.44          -0.10          -0.51 |          -0.39           0.84 
PH3                  |          10.53 |           0.14           0.14           0.13 |           0.13           0.84 
SiH4                 |          12.81 |           0.75           0.16          -0.41 |          -0.23           0.85 
CCl4                 |          11.77 |           1.37           0.16          -0.44 |          -0.35           0.85 
Pyrazine             |           9.70 |           0.75          -0.25          -1.25 |          -0.96           0.86 
O3                   |          12.80 |           0.29          -0.70          -1.63 |          -1.37           0.86 
SiH3                 |           8.80 |           0.08          -0.01          -0.08 |          -0.07           0.87 
NH                   |          13.44 |           1.99           2.22           2.42 |           2.38           0.90 
SiF2                 |          11.15 |           0.25          -0.03          -0.22 |          -0.19           0.91 
P2                   |          10.58 |           0.21          -0.23          -0.50 |          -0.47           0.93 
S2                   |           9.38 |           0.99           0.65           0.33 |           0.36           0.95 
H2                   |          16.40 |           0.06           0.05           0.04 |           0.04           1.00 
--------------------------------------------------------------------------------------------------------------------------
